runname	qtd_electrons_perparticle	qtd_electrons_energy	qtd_electrons_final
65nm_alpha_0.01MeV_0_a	0.0	533.550973734122	533.550973734122
65nm_alpha_0.01MeV_0_b	0.0	533.5591255396772	533.5591255396772
65nm_alpha_0.01MeV_0_c	0.0	2228.5308516646624	2228.5308516646624
65nm_alpha_0.01MeV_135_a	0.0	737.6181546153697	737.6181546153697
65nm_alpha_0.01MeV_135_b	0.0	2077.478895470888	2077.478895470888
65nm_alpha_0.01MeV_135_c	0.0	2139.790130628063	2139.790130628063
65nm_alpha_0.01MeV_180_a	0.0	0.29967304999999994	0.29967304999999994
65nm_alpha_0.01MeV_180_b	0.0	0.29967305	0.29967305
65nm_alpha_0.01MeV_180_c	0.0	0.35942739666666673	0.35942739666666673
65nm_alpha_0.01MeV_45_a	0.0	2246.6479401252095	2246.6479401252095
65nm_alpha_0.01MeV_45_b	0.0	2004.4237873952266	2004.4237873952266
65nm_alpha_0.01MeV_45_c	0.0	2274.686208118172	2274.686208118172
65nm_alpha_0.01MeV_90_a	0.0	2215.0412450400822	2215.0412450400822
65nm_alpha_0.01MeV_90_b	0.0	2112.984173465705	2112.984173465705
65nm_alpha_0.01MeV_90_c	0.0	0.0	0.0
65nm_alpha_0.05MeV_0_a	0.0	2979.416819454185	2979.416819454185
65nm_alpha_0.05MeV_0_b	0.0	2980.0506972319627	2980.0506972319627
65nm_alpha_0.05MeV_0_c	0.0	3870.3864417551563	3870.3864417551563
65nm_alpha_0.05MeV_135_a	0.0	4549.709777756638	4549.709777756638
65nm_alpha_0.05MeV_135_b	0.0	4678.365705495555	4678.365705495555
65nm_alpha_0.05MeV_135_c	0.0	5061.709886525015	5061.709886525015
65nm_alpha_0.05MeV_180_a	0.0	2380.5203576635945	2380.5203576635945
65nm_alpha_0.05MeV_180_b	0.0	2380.520357663595	2380.520357663595
65nm_alpha_0.05MeV_180_c	0.0	2509.3289259759117	2509.3289259759117
65nm_alpha_0.05MeV_45_a	0.0	5293.0360687495495	5293.0360687495495
65nm_alpha_0.05MeV_45_b	0.0	4694.106315348154	4694.106315348154
65nm_alpha_0.05MeV_45_c	0.0	5202.847109649381	5202.847109649381
65nm_alpha_0.05MeV_90_a	0.0	7910.6490924267455	7910.6490924267455
65nm_alpha_0.05MeV_90_b	0.0	4081.9885497388827	4081.9885497388827
65nm_alpha_0.05MeV_90_c	0.0	0.0	0.0
65nm_alpha_0.1MeV_0_a	0.0	4621.379778088602	4621.379778088602
65nm_alpha_0.1MeV_0_b	0.0	4621.3797780886025	4621.3797780886025
65nm_alpha_0.1MeV_0_c	0.0	5644.206867937099	5644.206867937099
65nm_alpha_0.1MeV_135_a	0.0	7042.195712256309	7042.195712256309
65nm_alpha_0.1MeV_135_b	0.0	7156.351160405556	7156.351160405556
65nm_alpha_0.1MeV_135_c	0.0	7677.854869761194	7677.854869761194
65nm_alpha_0.1MeV_180_a	0.0	3763.855260020757	3763.855260020757
65nm_alpha_0.1MeV_180_b	0.0	3764.6155016874254	3764.6155016874254
65nm_alpha_0.1MeV_180_c	0.0	4064.1742341571216	4064.1742341571216
65nm_alpha_0.1MeV_45_a	0.0	7785.967339948015	7785.967339948015
65nm_alpha_0.1MeV_45_b	0.0	7125.49072835658	7125.49072835658
65nm_alpha_0.1MeV_45_c	0.0	7751.784079756461	7751.784079756461
65nm_alpha_0.1MeV_90_a	0.0	12166.149599171327	12166.149599171327
65nm_alpha_0.1MeV_90_b	0.0	6133.049615555601	6133.049615555601
65nm_alpha_0.1MeV_90_c	0.0	0.0	0.0
65nm_mu-_0.01MeV_0_a	1.6197	9823.452184115373	9825.071884115372
65nm_mu-_0.01MeV_0_b	1.6197	9823.452184115367	9825.071884115367
65nm_mu-_0.01MeV_0_c	2.3215	24833.21927510279	24835.54077510279
65nm_mu-_0.01MeV_135_a	1.7708	14440.038079082642	14441.808879082642
65nm_mu-_0.01MeV_135_b	2.6454	19255.723478593518	19258.36887859352
65nm_mu-_0.01MeV_135_c	2.3041	23783.338411456287	23785.642511456288
65nm_mu-_0.01MeV_180_a	0.0873	812.6058219775067	812.6931219775067
65nm_mu-_0.01MeV_180_b	0.0873	812.6058219775066	812.6931219775066
65nm_mu-_0.01MeV_180_c	0.086	785.0122570922484	785.0982570922484
65nm_mu-_0.01MeV_45_a	2.2613	20206.045559768463	20208.30685976846
65nm_mu-_0.01MeV_45_b	2.6546	18419.294448681667	18421.94904868167
65nm_mu-_0.01MeV_45_c	2.0366	26892.927986751703	26894.964586751703
65nm_mu-_0.01MeV_90_a	2.0622	25845.9274509423	25847.9896509423
65nm_mu-_0.01MeV_90_b	1.3241	11209.411433553832	11210.735533553832
65nm_mu-_0.01MeV_90_c	0.0	0.0	0.0
65nm_mu-_0.05MeV_0_a	0.0	1443.1424703305588	1443.1424703305588
65nm_mu-_0.05MeV_0_b	0.0	1443.1556997750026	1443.1556997750026
65nm_mu-_0.05MeV_0_c	0.0004	1552.5184024088812	1552.5188024088811
65nm_mu-_0.05MeV_135_a	0.0	2277.3317653309914	2277.3317653309914
65nm_mu-_0.05MeV_135_b	0.0	1961.6583843722276	1961.6583843722276
65nm_mu-_0.05MeV_135_c	0.0	2154.8104341316694	2154.8104341316694
65nm_mu-_0.05MeV_180_a	0.0	1621.1549383656707	1621.1549383656707
65nm_mu-_0.05MeV_180_b	0.0	1620.951151421227	1620.951151421227
65nm_mu-_0.05MeV_180_c	0.0	1747.7735719214843	1747.7735719214843
65nm_mu-_0.05MeV_45_a	0.0	2195.7329354082344	2195.7329354082344
65nm_mu-_0.05MeV_45_b	0.0	1965.32290824278	1965.32290824278
65nm_mu-_0.05MeV_45_c	0.0	2183.3526319593475	2183.3526319593475
65nm_mu-_0.05MeV_90_a	0.0	3720.9640657762575	3720.9640657762575
65nm_mu-_0.05MeV_90_b	0.0	1612.5218830833371	1612.5218830833371
65nm_mu-_0.05MeV_90_c	0.0	0.0	0.0
65nm_mu-_0.1MeV_0_a	0.555	1008.504016322377	1009.0590163223769
65nm_mu-_0.1MeV_0_b	0.555	1008.3874277946	1008.9424277945999
65nm_mu-_0.1MeV_0_c	0.5821	1120.5462640455899	1121.12836404559
65nm_mu-_0.1MeV_135_a	0.8526	1595.8121654750216	1596.6647654750216
65nm_mu-_0.1MeV_135_b	0.6495	1361.072781631743	1361.722281631743
65nm_mu-_0.1MeV_135_c	0.8116	1579.9334846682914	1580.7450846682914
65nm_mu-_0.1MeV_180_a	0.5365	1052.8542327513721	1053.390732751372
65nm_mu-_0.1MeV_180_b	0.5365	1052.8506238624823	1053.3871238624822
65nm_mu-_0.1MeV_180_c	0.6272	1199.1734674152947	1199.8006674152946
65nm_mu-_0.1MeV_45_a	0.7805	1561.814230362448	1562.594730362448
65nm_mu-_0.1MeV_45_b	0.6564	1365.1005045485424	1365.7569045485425
65nm_mu-_0.1MeV_45_c	0.808	1583.3530875666909	1584.1610875666909
65nm_mu-_0.1MeV_90_a	1.3648	2721.479463542848	2722.844263542848
65nm_mu-_0.1MeV_90_b	0.5032	1131.9260852391085	1132.4292852391086
65nm_mu-_0.1MeV_90_c	0.0	0.0	0.0
65nm_muplus_0.01MeV_0_a	0.0012	103.94428988088684	103.94548988088684
65nm_muplus_0.01MeV_0_b	0.0012	103.94428988088686	103.94548988088685
65nm_muplus_0.01MeV_0_c	0.0021	2711.1995031927677	2711.201603192768
65nm_muplus_0.01MeV_135_a	0.0017	515.4695884935654	515.4712884935655
65nm_muplus_0.01MeV_135_b	0.0024	2498.7160574796812	2498.718457479681
65nm_muplus_0.01MeV_135_c	0.002	2498.578167904324	2498.580167904324
65nm_muplus_0.01MeV_180_a	0.0003	0.41959117843333343	0.41989117843333346
65nm_muplus_0.01MeV_180_b	0.0003	0.4195911784333335	0.4198911784333335
65nm_muplus_0.01MeV_180_c	0.0003	0.4624013967472221	0.4627013967472221
65nm_muplus_0.01MeV_45_a	0.0012	2702.043622762735	2702.0448227627353
65nm_muplus_0.01MeV_45_b	0.0022	2465.607393267222	2465.609593267222
65nm_muplus_0.01MeV_45_c	0.0018	2676.5421332664246	2676.5439332664246
65nm_muplus_0.01MeV_90_a	0.0017	2785.2093366669433	2785.211036666943
65nm_muplus_0.01MeV_90_b	0.0013	2782.000004724185	2782.001304724185
65nm_muplus_0.01MeV_90_c	0.0	0.0	0.0
65nm_muplus_0.05MeV_0_a	0.0	3107.9136491068302	3107.9136491068302
65nm_muplus_0.05MeV_0_b	0.0	3108.806890773497	3108.806890773497
65nm_muplus_0.05MeV_0_c	0.0	3618.9584096615836	3618.9584096615836
65nm_muplus_0.05MeV_135_a	0.0	4782.595279177252	4782.595279177252
65nm_muplus_0.05MeV_135_b	0.0	4549.261382888857	4549.261382888857
65nm_muplus_0.05MeV_135_c	0.0	4968.433979076379	4968.433979076379
65nm_muplus_0.05MeV_180_a	0.0002	2595.811450538231	2595.811650538231
65nm_muplus_0.05MeV_180_b	0.0002	2595.811450538232	2595.811650538232
65nm_muplus_0.05MeV_180_c	0.0	2962.615043500582	2962.615043500582
65nm_muplus_0.05MeV_45_a	0.0	5034.275265986274	5034.275265986274
65nm_muplus_0.05MeV_45_b	0.0	4547.584929344453	4547.584929344453
65nm_muplus_0.05MeV_45_c	0.0	4996.687622477289	4996.687622477289
65nm_muplus_0.05MeV_90_a	0.0	7958.917757534499	7958.917757534499
65nm_muplus_0.05MeV_90_b	0.0	3838.345285333322	3838.345285333322
65nm_muplus_0.05MeV_90_c	0.0	0.0	0.0
65nm_muplus_0.1MeV_0_a	0.5151	3220.8103903044484	3221.3254903044485
65nm_muplus_0.1MeV_0_b	0.5151	3221.1488180822253	3221.6639180822253
65nm_muplus_0.1MeV_0_c	0.5687	3428.0669021677836	3428.6356021677834
65nm_muplus_0.1MeV_135_a	0.798	4962.250535293073	4963.048535293073
65nm_muplus_0.1MeV_135_b	0.6482	4404.612406549626	4405.260606549626
65nm_muplus_0.1MeV_135_c	0.8009	4890.270177676853	4891.071077676853
65nm_muplus_0.1MeV_180_a	0.311	3352.9756232422787	3353.286623242279
65nm_muplus_0.1MeV_180_b	0.311	3352.961567408947	3353.272567408947
65nm_muplus_0.1MeV_180_c	0.3487	3667.6953291274613	3668.0440291274613
65nm_muplus_0.1MeV_45_a	0.7581	4824.980904090928	4825.739004090928
65nm_muplus_0.1MeV_45_b	0.6395	4398.387113556955	4399.026613556955
65nm_muplus_0.1MeV_45_c	0.7807	4875.292713671745	4876.073413671746
65nm_muplus_0.1MeV_90_a	1.2744	8268.14355411666	8269.41795411666
65nm_muplus_0.1MeV_90_b	0.5006	3630.26772610877	3630.76832610877
65nm_muplus_0.1MeV_90_c	0.0	0.0	0.0
65nm_neutron_0.01MeV_0_a	0.0	0.0	0.0
65nm_neutron_0.01MeV_0_b	0.0	0.0	0.0
65nm_neutron_0.01MeV_0_c	0.0	0.0	0.0
65nm_neutron_0.01MeV_135_a	0.0	0.0	0.0
65nm_neutron_0.01MeV_135_b	0.0	0.0	0.0
65nm_neutron_0.01MeV_135_c	0.0	0.0	0.0
65nm_neutron_0.01MeV_180_a	0.0	0.0	0.0
65nm_neutron_0.01MeV_180_b	0.0	0.0	0.0
65nm_neutron_0.01MeV_180_c	0.0	0.0	0.0
65nm_neutron_0.01MeV_45_a	0.0	0.0	0.0
65nm_neutron_0.01MeV_45_b	0.0	0.0	0.0
65nm_neutron_0.01MeV_45_c	0.0	0.0	0.0
65nm_neutron_0.01MeV_90_a	0.0	0.0	0.0
65nm_neutron_0.01MeV_90_b	0.0	0.0	0.0
65nm_neutron_0.01MeV_90_c	0.0	0.0	0.0
65nm_neutron_0.05MeV_0_a	0.0	0.0	0.0
65nm_neutron_0.05MeV_0_b	0.0	0.0	0.0
65nm_neutron_0.05MeV_0_c	0.0	0.0	0.0
65nm_neutron_0.05MeV_135_a	0.0	0.0	0.0
65nm_neutron_0.05MeV_135_b	0.0	0.0	0.0
65nm_neutron_0.05MeV_135_c	0.0	0.0	0.0
65nm_neutron_0.05MeV_180_a	0.0	0.0	0.0
65nm_neutron_0.05MeV_180_b	0.0	0.0	0.0
