runname	qtd_electrons_perparticle	qtd_electrons_energy	qtd_electrons_final
22nm_alpha_0.01MeV_0_a	0.0	0.5854938333333334	0.5854938333333334
22nm_alpha_0.01MeV_0_b	0.0	0.5854938333333334	0.5854938333333334
22nm_alpha_0.01MeV_0_c	0.0	2.274549495833333	2.274549495833333
22nm_alpha_0.01MeV_135_a	0.0	190.31941234441737	190.31941234441737
22nm_alpha_0.01MeV_135_b	0.0	55.482976085500034	55.482976085500034
22nm_alpha_0.01MeV_135_c	0.0	7.706832130111106	7.706832130111106
22nm_alpha_0.01MeV_180_a	0.0	0.0	0.0
22nm_alpha_0.01MeV_180_b	0.0	0.0	0.0
22nm_alpha_0.01MeV_180_c	0.0	0.0	0.0
22nm_alpha_0.01MeV_45_a	0.0	411.53217496355484	411.53217496355484
22nm_alpha_0.01MeV_45_b	0.0	1.295787705555555	1.295787705555555
22nm_alpha_0.01MeV_45_c	0.0	0.40874304083333335	0.40874304083333335
22nm_alpha_0.01MeV_90_a	0.0	297.16612482099987	297.16612482099987
22nm_alpha_0.01MeV_90_b	0.0	9.810967143888904	9.810967143888904
22nm_alpha_0.01MeV_90_c	0.0	0.25408925	0.25408925
22nm_alpha_0.05MeV_0_a	0.0	507.18645507305575	507.18645507305575
22nm_alpha_0.05MeV_0_b	0.0	507.2127472952783	507.2127472952783
22nm_alpha_0.05MeV_0_c	0.0	0.18914944444444445	0.18914944444444445
22nm_alpha_0.05MeV_135_a	0.0	1181.7957287862196	1181.7957287862196
22nm_alpha_0.05MeV_135_b	0.0	385.50631983583423	385.50631983583423
22nm_alpha_0.05MeV_135_c	0.0	0.6421727907777778	0.6421727907777778
22nm_alpha_0.05MeV_180_a	0.0	1.4490281433333332	1.4490281433333332
22nm_alpha_0.05MeV_180_b	0.0	1.4490281433333334	1.4490281433333334
22nm_alpha_0.05MeV_180_c	0.0	0.9901921277777775	0.9901921277777775
22nm_alpha_0.05MeV_45_a	0.0	1355.2652784894694	1355.2652784894694
22nm_alpha_0.05MeV_45_b	0.0	307.6846593496332	307.6846593496332
22nm_alpha_0.05MeV_45_c	0.0	0.0	0.0
22nm_alpha_0.05MeV_90_a	0.0	948.9813658416685	948.9813658416685
22nm_alpha_0.05MeV_90_b	0.0	255.4457054855562	255.4457054855562
22nm_alpha_0.05MeV_90_c	0.0	0.0	0.0
22nm_alpha_0.1MeV_0_a	0.0	1315.8921077446366	1315.8921077446366
22nm_alpha_0.1MeV_0_b	0.0	1315.6698694113036	1315.6698694113036
22nm_alpha_0.1MeV_0_c	0.0	0.0	0.0
22nm_alpha_0.1MeV_135_a	0.0	1971.6286132333291	1971.6286132333291
22nm_alpha_0.1MeV_135_b	0.0	596.1249100435001	596.1249100435001
22nm_alpha_0.1MeV_135_c	0.0	0.2716327222222222	0.2716327222222222
22nm_alpha_0.1MeV_180_a	0.0	29.106652239055556	29.106652239055556
22nm_alpha_0.1MeV_180_b	0.0	29.106652239055563	29.106652239055563
22nm_alpha_0.1MeV_180_c	0.0	19.894109529805544	19.894109529805544
22nm_alpha_0.1MeV_45_a	0.0	2073.427628023977	2073.427628023977
22nm_alpha_0.1MeV_45_b	0.0	535.5763887680263	535.5763887680263
22nm_alpha_0.1MeV_45_c	0.0	0.0	0.0
22nm_alpha_0.1MeV_90_a	0.0	1456.1513071805489	1456.1513071805489
22nm_alpha_0.1MeV_90_b	0.0	412.97676421388877	412.97676421388877
22nm_alpha_0.1MeV_90_c	0.0	0.0	0.0
22nm_mu-_0.01MeV_0_a	0.0749	48.350264403013895	48.425164403013895
22nm_mu-_0.01MeV_0_b	0.0749	48.350264403013895	48.425164403013895
22nm_mu-_0.01MeV_0_c	0.0184	10.575762746033327	10.594162746033327
22nm_mu-_0.01MeV_135_a	0.6238	591.3198916270039	591.9436916270039
22nm_mu-_0.01MeV_135_b	0.6222	240.13425224704443	240.75645224704442
22nm_mu-_0.01MeV_135_c	0.0804	38.255708567163175	38.33610856716317
22nm_mu-_0.01MeV_180_a	0.0001	1.8043829125000002	1.8044829125000001
22nm_mu-_0.01MeV_180_b	0.0001	1.8043829125000002	1.8044829125000001
22nm_mu-_0.01MeV_180_c	0.0002	0.006230719722222222	0.006430719722222222
22nm_mu-_0.01MeV_45_a	0.3103	649.8222442584871	650.1325442584871
22nm_mu-_0.01MeV_45_b	0.162	86.43515830609546	86.59715830609547
22nm_mu-_0.01MeV_45_c	0.0029	1.7912096236438892	1.7941096236438892
22nm_mu-_0.01MeV_90_a	0.4023	586.8798506038136	587.2821506038135
22nm_mu-_0.01MeV_90_b	0.3795	246.51078872317692	246.89028872317692
22nm_mu-_0.01MeV_90_c	0.0016	0.2827656977777778	0.2843656977777778
22nm_mu-_0.05MeV_0_a	0.0	429.3857111022222	429.3857111022222
22nm_mu-_0.05MeV_0_b	0.0	429.34295971333324	429.34295971333324
22nm_mu-_0.05MeV_0_c	0.0	0.015102222222222223	0.015102222222222223
22nm_mu-_0.05MeV_135_a	0.0	495.1691557161096	495.1691557161096
22nm_mu-_0.05MeV_135_b	0.0	173.10673650745778	173.10673650745778
22nm_mu-_0.05MeV_135_c	0.0	0.028079875000000004	0.028079875000000004
22nm_mu-_0.05MeV_180_a	0.0024	7.031136793111116	7.033536793111116
22nm_mu-_0.05MeV_180_b	0.0024	7.031136793111116	7.033536793111116
22nm_mu-_0.05MeV_180_c	0.0016	5.109880504027781	5.111480504027781
22nm_mu-_0.05MeV_45_a	0.0	519.704497000556	519.704497000556
22nm_mu-_0.05MeV_45_b	0.0003	183.72507070249927	183.72537070249928
22nm_mu-_0.05MeV_45_c	0.0	0.005263027777777777	0.005263027777777777
22nm_mu-_0.05MeV_90_a	0.0	370.3355529777771	370.3355529777771
22nm_mu-_0.05MeV_90_b	0.0	124.18792788397242	124.18792788397242
22nm_mu-_0.05MeV_90_c	0.0	0.0	0.0
22nm_mu-_0.1MeV_0_a	0.2515	312.57292243894193	312.82442243894195
22nm_mu-_0.1MeV_0_b	0.2515	312.5729224389419	312.8244224389419
22nm_mu-_0.1MeV_0_c	0.0057	0.301103379472222	0.30680337947222197
22nm_mu-_0.1MeV_135_a	0.2133	339.900865181239	340.114165181239
22nm_mu-_0.1MeV_135_b	0.1908	117.28496893697637	117.47576893697637
22nm_mu-_0.1MeV_135_c	0.0049	0.3832126072958334	0.3881126072958334
22nm_mu-_0.1MeV_180_a	0.0442	39.712458519836055	39.75665851983605
22nm_mu-_0.1MeV_180_b	0.0442	39.743388519836046	39.78758851983604
22nm_mu-_0.1MeV_180_c	0.0155	10.030077745844455	10.045577745844454
22nm_mu-_0.1MeV_45_a	0.2086	335.7886828142147	335.9972828142147
22nm_mu-_0.1MeV_45_b	0.1853	119.17518232415426	119.36048232415426
22nm_mu-_0.1MeV_45_c	0.0013	0.06793026019444444	0.06923026019444443
22nm_mu-_0.1MeV_90_a	0.1741	239.04420225165376	239.21830225165377
22nm_mu-_0.1MeV_90_b	0.1487	82.3544675385525	82.5031675385525
22nm_mu-_0.1MeV_90_c	0.0005	0.031077554805555557	0.031577554805555554
22nm_muplus_0.01MeV_0_a	0.0002	0.04946477201944445	0.04966477201944445
22nm_muplus_0.01MeV_0_b	0.0002	0.04946477201944445	0.04966477201944445
