runname	qtd_electrons_perparticle	qtd_electrons_energy	qtd_electrons_final
32nm_alpha_0.01MeV_0_a	0.0	739.8743081713206	739.8743081713206
32nm_alpha_0.01MeV_0_b	0.0	739.8743081713202	739.8743081713202
32nm_alpha_0.01MeV_0_c	0.0	1361.6069533917116	1361.6069533917116
32nm_alpha_0.01MeV_135_a	0.0	947.3013069340607	947.3013069340607
32nm_alpha_0.01MeV_135_b	0.0	1209.216233422254	1209.216233422254
32nm_alpha_0.01MeV_135_c	0.0	1524.4434535305872	1524.4434535305872
32nm_alpha_0.01MeV_180_a	0.0	0.0	0.0
32nm_alpha_0.01MeV_180_b	0.0	0.0	0.0
32nm_alpha_0.01MeV_180_c	0.0	0.0	0.0
32nm_alpha_0.01MeV_45_a	0.0	1389.4295549437918	1389.4295549437918
32nm_alpha_0.01MeV_45_b	0.0	1171.2362165707157	1171.2362165707157
32nm_alpha_0.01MeV_45_c	0.0	1556.840410071196	1556.840410071196
32nm_alpha_0.01MeV_90_a	0.0	1725.2319053858314	1725.2319053858314
32nm_alpha_0.01MeV_90_b	0.0	1045.1603153129768	1045.1603153129768
32nm_alpha_0.01MeV_90_c	0.0	1544.725587365967	1544.725587365967
32nm_alpha_0.05MeV_0_a	0.0	1693.5086828960868	1693.5086828960868
32nm_alpha_0.05MeV_0_b	0.0	1693.7430595627534	1693.7430595627534
32nm_alpha_0.05MeV_0_c	0.0	2214.139708192217	2214.139708192217
32nm_alpha_0.05MeV_135_a	0.0	2568.6629318285736	2568.6629318285736
32nm_alpha_0.05MeV_135_b	0.0	2544.6733081507623	2544.6733081507623
32nm_alpha_0.05MeV_135_c	0.0	3040.7614277229554	3040.7614277229554
32nm_alpha_0.05MeV_180_a	0.0	1225.2436264102305	1225.2436264102305
32nm_alpha_0.05MeV_180_b	0.0	1225.2436264102298	1225.2436264102298
32nm_alpha_0.05MeV_180_c	0.0	1463.3112901820236	1463.3112901820236
32nm_alpha_0.05MeV_45_a	0.0	2747.8293793953453	2747.8293793953453
32nm_alpha_0.05MeV_45_b	0.0	2555.281315900556	2555.281315900556
32nm_alpha_0.05MeV_45_c	0.0	3092.261525906402	3092.261525906402
32nm_alpha_0.05MeV_90_a	0.0	4615.088516784994	4615.088516784994
32nm_alpha_0.05MeV_90_b	0.0	2163.3603090694464	2163.3603090694464
32nm_alpha_0.05MeV_90_c	0.0	2580.0888964555543	2580.0888964555543
32nm_alpha_0.1MeV_0_a	0.0	2575.2458429105586	2575.2458429105586
32nm_alpha_0.1MeV_0_b	0.0	2574.9537817994483	2574.9537817994483
32nm_alpha_0.1MeV_0_c	0.0	3211.960050277768	3211.960050277768
32nm_alpha_0.1MeV_135_a	0.0	3853.41969838701	3853.41969838701
32nm_alpha_0.1MeV_135_b	0.0	3830.7839743444424	3830.7839743444424
32nm_alpha_0.1MeV_135_c	0.0	4440.109819511395	4440.109819511395
32nm_alpha_0.1MeV_180_a	0.0	1977.2236584268308	1977.2236584268308
32nm_alpha_0.1MeV_180_b	0.0	1977.5448362046086	1977.5448362046086
32nm_alpha_0.1MeV_180_c	0.0	2325.5102578641404	2325.5102578641404
32nm_alpha_0.1MeV_45_a	0.0	4051.198105700838	4051.198105700838
32nm_alpha_0.1MeV_45_b	0.0	3824.4175660833266	3824.4175660833266
32nm_alpha_0.1MeV_45_c	0.0	4489.385499471931	4489.385499471931
32nm_alpha_0.1MeV_90_a	0.0	6893.53046318853	6893.53046318853
32nm_alpha_0.1MeV_90_b	0.0	3229.8225352777677	3229.8225352777677
32nm_alpha_0.1MeV_90_c	0.0	3745.929330055555	3745.929330055555
32nm_mu-_0.01MeV_0_a	1.8904	13519.895780883488	13521.786180883488
32nm_mu-_0.01MeV_0_b	1.8904	13519.806581716823	13521.696981716823
32nm_mu-_0.01MeV_0_c	1.3767	11304.71019701307	11306.08689701307
32nm_mu-_0.01MeV_135_a	1.7023	13948.48233665374	13950.184636653741
32nm_mu-_0.01MeV_135_b	0.5169	4986.804625011003	4987.321525011002
32nm_mu-_0.01MeV_135_c	1.9425	19389.13124040377	19391.07374040377
32nm_mu-_0.01MeV_180_a	0.0278	201.06285987810298	201.090659878103
32nm_mu-_0.01MeV_180_b	0.0278	201.06285987810304	201.09065987810305
32nm_mu-_0.01MeV_180_c	0.0268	265.52274892774176	265.54954892774174
32nm_mu-_0.01MeV_45_a	0.9262	8579.036359777492	8579.962559777492
32nm_mu-_0.01MeV_45_b	0.6153	4740.92278883468	4741.538088834681
32nm_mu-_0.01MeV_45_c	1.9616	16668.631723007016	16670.593323007015
32nm_mu-_0.01MeV_90_a	1.6099	13755.855328311205	13757.465228311205
32nm_mu-_0.01MeV_90_b	0.0995	1984.282702191077	1984.382202191077
32nm_mu-_0.01MeV_90_c	0.9234	10871.259903467526	10872.183303467526
32nm_mu-_0.05MeV_0_a	0.0	710.7232158857861	710.7232158857861
32nm_mu-_0.05MeV_0_b	0.0	710.723215885786	710.723215885786
32nm_mu-_0.05MeV_0_c	0.0	859.9520900055561	859.9520900055561
32nm_mu-_0.05MeV_135_a	0.0	1084.98410060102	1084.98410060102
32nm_mu-_0.05MeV_135_b	0.0	972.6634671666652	972.6634671666652
32nm_mu-_0.05MeV_135_c	0.0	1218.3810480638908	1218.3810480638908
32nm_mu-_0.05MeV_180_a	0.0	794.8723403322894	794.8723403322894
32nm_mu-_0.05MeV_180_b	0.0	794.9208456100672	794.9208456100672
32nm_mu-_0.05MeV_180_c	0.0	969.4551016883325	969.4551016883325
